Title,Name of author,Publisher,Genre,Rating,Rating count,Review count,Book cover,Release date,Num of pages,Edition language,Num of other editions,Reading age,Best sellers rank,Lexile measure,Num of awards,Series,There is a movie
A Certain Slant of Light,Laura Whitcomb,HMH Books for Young Readers,Young Adult,3.83,18932.0,1914.0,Paperback,2005.0,282.0,English,1.0,12 - 17,383940.0,780.0,2,0.0,0
Raven: The Balance: Book Two,Nick Shamhart,BookBaby,Humor,4.78,324.0,18.0,ebook,2012.0,350.0,English,2.0,,,,0,1.0,0
Cress,Marissa Meyer,Feiwel & Friends,Young Adult,4.4,319484.0,29126.0,Hardcover,2014.0,552.0,English,96.0,12 - 17,56158.0,840.0,2,1.0,0
The Throne of Fire,Rick Riordan,Hyperion Books for Children,Fantasy,4.17,189565.0,6549.0,Hardcover,2011.0,452.0,English,104.0,9 - 12,78680.0,710.0,1,1.0,0
Delirium,Lauren Oliver,HarperCollins,Young Adult,3.96,448182.0,27189.0,Paperback,2012.0,441.0,English,118.0,14 - 17,8309.0,920.0,4,1.0,0
Isle of Winds,James Fahy,Venture Press,Fantasy,4.2,920.0,171.0,Kindle Edition,2015.0,265.0,English,2.0,12 - 17,581618.0,,0,1.0,0
Middlesex,Jeffrey Eugenides,Picador USA,Fiction,4.01,609524.0,24117.0,Paperback,2003.0,529.0,English,148.0,,,,6,0.0,0
Haunted,Chuck Palahniuk,Anchor,Horror,3.6,103738.0,4680.0,Paperback,2006.0,419.0,English,6.0,,13510.0,,0,0.0,0
The Iron Knight,Julie Kagawa,Harlequin TEEN,Fantasy,4.17,84537.0,4770.0,Paperback,2011.0,400.0,English,50.0,14 - 17,174165.0,860.0,1,1.0,0
The Merchant of Death,D.J. MacHale,Aladdin Paperbacks,Fantasy,3.96,48201.0,2022.0,Paperback,2002.0,375.0,English,54.0,10 - 14,35042.0,660.0,0,1.0,0
The Archon of Peace,Juddy Anderson C. Punzalan,Rafael D. Consing Jr,Fantasy,4.62,243.0,53.0,Kindle Edition,2020.0,795.0,English,,,,,0,0.0,0
A Court of Mist and Fury,Sarah J. Maas,Bloomsbury USA Childrens,Fantasy,4.59,580748.0,58010.0,Kindle Edition,2016.0,626.0,English,117.0,,189.0,,1,1.0,0
Die for Me,Amy Plum,HarperTeen,Young Adult,3.97,56049.0,4514.0,Hardcover,2011.0,341.0,English,36.0,,,,0,0.0,0
Ink Exchange,Melissa Marr,HarperTeen,Fantasy,3.69,65295.0,3067.0,Hardcover,2008.0,325.0,English,51.0,13 - 12,,720.0,0,1.0,0
Lord of Misrule,Rachel Caine,New American Library,Paranormal > Vampires,4.13,47935.0,1173.0,Mass Market Paperback,2009.0,246.0,English,44.0,12 - 17,277707.0,690.0,0,1.0,0
